PortfolioCode,ClientInternal,SecurityName,LocalCurrency,PortfolioBaseCurrency,TxnId,TransactionDate,Type,Strategy,Units,TradePrice,PricedAsPct
TPV_Infrastructure,UTILIAUD0001,NSW Water Supply Project,AUD,USD,TRD_0001,01/01/2025,StockIn,Income,1,4734600,No
TPV_Infrastructure,UTILIAUD0002,Victoria Gas Network Upgrade,AUD,USD,TRD_0002,01/01/2025,StockIn,Income,1,3352500,No
TPV_Infrastructure,UTILIAUD0003,Queensland Power Grid Expansion,AUD,USD,TRD_0003,01/01/2025,StockIn,Income,1,6910900,No
TPV_Infrastructure,UTILIAUD0004,Western Australia Water Treatment Plant,AUD,USD,TRD_0004,01/01/2025,StockIn,Income,1,6517500,No
TPV_Infrastructure,UTILIAUD0005,NSW Gas Distribution Enhancement,AUD,USD,TRD_0005,01/01/2025,StockIn,Income,1,9017300,No
TPV_Infrastructure,UTILIAUD0006,South Australia Water Infrastructure,AUD,USD,TRD_0006,01/01/2025,StockIn,Income,1,3835700,No
TPV_Infrastructure,UTILIGBP0007,London Electricity Network Modernisation,GBP,USD,TRD_0007,01/01/2025,StockIn,Income,1,7473400,No
TPV_Infrastructure,AIR00001,Heathrow Airport Terminal 5,GBP,USD,TRD_0008,01/01/2025,StockIn,Income,1,6517500,No
TPV_Infrastructure,AIR00002,Manchester Airport,GBP,USD,TRD_0009,01/01/2025,StockIn,Income,1,6517500,No
TPV_Infrastructure,AIR00003,Edinburgh Airport,GBP,USD,TRD_0010,01/01/2025,StockIn,Income,1,9017300,No
TPV_Infrastructure,AIR00004,Sydney Kingsford Smith Airport,AUD,USD,TRD_0011,01/01/2025,StockIn,Income,1,3835700,No
TPV_Infrastructure,AIR00005,Melbourne Airport,AUD,USD,TRD_0012,01/01/2025,StockIn,Income,1,7473400,No
TPV_GlobalFixedIncome,GOV00001,US Treasury 2.75% February 2033,USD,USD,TRD_0001,01/01/2025,Buy,Income,9317000,96,Yes
TPV_GlobalFixedIncome,GOV00002,UK Gilt 3.25% March 2033,GBP,USD,TRD_0002,01/01/2025,Buy,Income,5844300,102,Yes
TPV_GlobalFixedIncome,GOV00003,German Bund 2.3% January 2033,EUR,USD,TRD_0003,01/01/2025,Buy,Income,2129600,109,Yes
TPV_GlobalFixedIncome,GOV00004,JGB 0.5% March 2033,JPY,USD,TRD_0004,01/01/2025,Buy,Income,11023100,100,Yes
TPV_GlobalFixedIncome,GOV00005,US TIPS 1.125% January 2033,USD,USD,TRD_0005,01/01/2025,Buy,Income,4089800,97,Yes
TPV_GlobalFixedIncome,GOV00006,US Treasury Note 2.5% January 2029,USD,USD,TRD_0006,01/01/2025,Buy,Income,10781100,90,Yes
TPV_GlobalFixedIncome,GOV00007,US Treasury Bond 3.0% August 2053,USD,USD,TRD_0007,01/01/2025,Buy,Income,10551200,93,Yes
TPV_GlobalFixedIncome,GOV00008,UK Gilt 3.5% November 2038,GBP,USD,TRD_0008,01/01/2025,Buy,Income,8070700,98,Yes
TPV_GlobalFixedIncome,GOV00009,US Treasury TIPS 1.0% April 2034,USD,USD,TRD_0009,01/01/2025,Buy,Income,6001600,97,Yes
TPV_GlobalFixedIncome,GOV00010,UK Index-Linked Gilt 0.75% August 2029,GBP,USD,TRD_0010,01/01/2025,Buy,Income,6037900,107,Yes
TPV_GlobalFixedIncome,GOV00011,French OAT 2.15% May 2033,EUR,USD,TRD_0011,01/01/2025,Buy,Income,11180400,94,Yes
TPV_GlobalFixedIncome,GOV00012,Danish Government Bond 1.75% October 2030,DKK,USD,TRD_0012,01/01/2025,Buy,Income,10200300,107,Yes
TPV_GlobalFixedIncome,GOV00013,French OAT (Long) 2.5% November 2052,EUR,USD,TRD_0013,01/01/2025,Buy,Income,11156200,97,Yes
TPV_GlobalFixedIncome,GOV00014,Danish Government Bond (Short) 1.25% March 2027,DKK,USD,TRD_0014,01/01/2025,Buy,Income,10297100,104,Yes
TPV_GlobalFixedIncome,GOV00015,French OATei (Inflation-Linked) 0.8% July 2030,EUR,USD,TRD_0015,01/01/2025,Buy,Income,3944600,99,Yes
TPV_GlobalFixedIncome,IVG00001,Apple Inc. 3.2% January 2025,USD,USD,TRD_0016,01/01/2025,Buy,Income,11107800,103,Yes
TPV_GlobalFixedIncome,GOV00005,US TIPS 1.125% January 2033,USD,USD,TRD_0017,03/02/2025,Sell,Income,1210000,110,Yes
TPV_GlobalFixedIncome,GOV00006,US Treasury Note 2.5% January 2029,USD,USD,TRD_0018,03/02/2025,Sell,Income,1210000,114,Yes
TPV_GlobalFixedIncome,GOV00007,US Treasury Bond 3.0% August 2053,USD,USD,TRD_0019,03/02/2025,Sell,Income,1210000,110,Yes
TPV_GlobalFixedIncome,GOV00008,UK Gilt 3.5% November 2038,GBP,USD,TRD_0020,03/02/2025,Sell,Income,1210000,117,Yes
TPV_GlobalFixedIncome,GOV00009,US Treasury TIPS 1.0% April 2034,USD,USD,TRD_0021,03/02/2025,Sell,Income,1210000,119,Yes
TPV_GlobalFixedIncome,GOV00010,UK Index-Linked Gilt 0.75% August 2029,GBP,USD,TRD_0022,03/02/2025,Sell,Income,1210000,112,Yes
TPV_GlobalFixedIncome,GOV00011,French OAT 2.15% May 2033,EUR,USD,TRD_0023,03/02/2025,Sell,Income,1210000,119,Yes
TPV_GlobalFixedIncome,GOV00012,Danish Government Bond 1.75% October 2030,DKK,USD,TRD_0024,03/02/2025,Sell,Income,1210000,112,Yes
TPV_GlobalFixedIncome,GOV00013,French OAT (Long) 2.5% November 2052,EUR,USD,TRD_0025,03/02/2025,Sell,Income,1210000,119,Yes
TPV_GlobalFixedIncome,GOV00014,Danish Government Bond (Short) 1.25% March 2027,DKK,USD,TRD_0026,03/02/2025,Sell,Income,1210000,111,Yes
TPV_GlobalFixedIncome,GOV00015,French OATei (Inflation-Linked) 0.8% July 2030,EUR,USD,TRD_0027,03/02/2025,Sell,Income,1210000,115,Yes
TPV_GlobalFixedIncome,IVG00001,Apple Inc. 3.2% January 2025,USD,USD,TRD_0028,03/02/2025,Sell,Income,1210000,115,Yes
TPV_GlobalFixedIncome,IVG00002,Microsoft Corporation 3.1% March 2025,USD,USD,TRD_0029,01/01/2025,Buy,Income,5505500,97,Yes
TPV_GlobalFixedIncome,IVG00003,HSBC Holdings plc 4.2% June 2025,GBP,USD,TRD_0030,01/01/2025,Buy,Income,10478600,103,Yes
TPV_GlobalFixedIncome,IVG00004,BP plc 4.5% September 2025,GBP,USD,TRD_0031,01/01/2025,Buy,Income,7756100,101,Yes
TPV_GlobalFixedIncome,IVG00005,Deutsche Bank AG 4.8% January 2026,EUR,USD,TRD_0032,01/01/2025,Buy,Income,1875500,95,Yes
TPV_GlobalFixedIncome,IVG00006,Volkswagen AG 3.9% March 2026,EUR,USD,TRD_0033,01/01/2025,Buy,Income,6279900,108,Yes
TPV_GlobalFixedIncome,IVG00007,Toyota Motor Corporation 2.8% June 2026,JPY,USD,TRD_0034,01/01/2025,Buy,Income,2141700,98,Yes
TPV_GlobalFixedIncome,IVG00008,Sony Corporation 3.0% September 2026,JPY,USD,TRD_0035,01/01/2025,Buy,Income,1923900,98,Yes
TPV_GlobalFixedIncome,IVG00009,Volvo AB 3.5% December 2026,SEK,USD,TRD_0036,01/01/2025,Buy,Income,2044900,95,Yes
TPV_GlobalFixedIncome,IVG00010,Ericsson 3.8% March 2027,SEK,USD,TRD_0037,01/01/2025,Buy,Income,5759600,102,Yes
TPV_GlobalFixedIncome,ILQ00001,Republic of Argentina 2053 7.25%,ARS,USD,TRD_0038,01/01/2025,Buy,Income,71390000,80,Yes
TPV_GlobalFixedIncome,ILQ00002,Kingdom of Thailand 2048 4.75%,THB,USD,TRD_0039,01/01/2025,Buy,Income,71390000,75,Yes
TPV_GlobalEquities,EQT00001,Apple Inc-,USD,USD,TRD_0001,01/01/2025,Buy,Income,93200,133,No
TPV_GlobalEquities,EQT00002,Microsoft Corporation,USD,USD,TRD_0002,01/01/2025,Buy,Income,10600,79,No
TPV_GlobalEquities,EQT00003,Amazon-com Inc-,USD,USD,TRD_0003,01/01/2025,Buy,Income,55500,98,No
TPV_GlobalEquities,EQT00004,Alphabet Inc-,USD,USD,TRD_0004,01/01/2025,Buy,Income,71900,117,No
TPV_GlobalEquities,EQT00005,Tesla Inc-,USD,USD,TRD_0005,01/01/2025,Buy,Income,45200,68,No
TPV_GlobalEquities,EQT00006,JPMorgan Chase & Co-,USD,USD,TRD_0006,01/01/2025,Buy,Income,59600,52,No
TPV_GlobalEquities,EQT00007,Johnson & Johnson,USD,USD,TRD_0007,01/01/2025,Buy,Income,79400,175,No
TPV_GlobalEquities,EQT00008,Naspers Ltd-,ZAR,USD,TRD_0008,01/01/2025,Buy,Income,54600,135,No
TPV_GlobalEquities,EQT00009,Anglo American plc,ZAR,USD,TRD_0009,01/01/2025,Buy,Income,98600,180,No
TPV_GlobalEquities,EQT00010,FirstRand Ltd-,ZAR,USD,TRD_0010,01/01/2025,Buy,Income,64800,92,No
TPV_GlobalEquities,EQT00011,MTN Group Ltd-,ZAR,USD,TRD_0011,01/01/2025,Buy,Income,93100,157,No
TPV_GlobalEquities,EQT00012,Standard Bank Group Ltd-,ZAR,USD,TRD_0012,01/01/2025,Buy,Income,14700,150,No
TPV_GlobalEquities,EQT00013,Sasol Ltd-,ZAR,USD,TRD_0013,01/01/2025,Buy,Income,20000,119,No
